UsedMedian: SalesAvg:
2924.0 152432.437037
3159.0 128360.562963
2799.0 191826.562963
1500.0 231563.785185
1998.0 276834.903704
2215.0 252602.348148
705.0 3778.34074074
3815.0 157456.266667
1644.0 90435.9259259
3944.0 120865.377778
3200.0 108297.859259
4412.0 216367.318519
2369.0 22922.3481481
3050.0 33687.2814815
2710.0 29539.7925926
2912.0 79120.0
3434.0 44773.3333333
1941.0 182726.044444
2648.0 30727.692
2500.0 31077.2222222
2104.0 106873.574297
1899.5 443806.089552
407.0 265883.813433
775.0 164664.985075
4350.0 1104717.30597
949.0 1.26470588235
479.0 28.3235294118
302.0 65.862745098
1.0 192.490196078
712.0 1354.65686275
522.0 210.539215686
2912.0 930.588235294
506.0 298.078431373
518.0 1920.14705882
300.0 7710.21568627
1760.0 53865.627451
1535.0 149030.95098
363.0 554.078431373
673.0 6195.66666667
286.0 3144.16666667
2288.0 1519725.25
2000.0 498028.4
1576.5 153753.714286
2361.0 331457.0
3018.0 930164.5
1521.5 66863.2857143
3500.0 68159.9285714
1439.0 1095344.0
1469.0 720566.642857
2216.0 669650.285714
1500.0 16455.7142857
1593.0 161167.357143
1539.0 87100.4285714
986.0 74595.2142857
3727.0 174933.928571
4454.0 265378.285714
2096.0 76788.5
3897.0 111196.928571
3523.0 138241.5
4179.0 160281.214286
2999.0 184606.285714
4528.0 157783.857143
4105.5 266174.785714
3250.0 200618.214286
6736.0 246971.928571
1489.0 196561.571429
3000.0 177363.928571
3244.0 297649.071429
1274.0 300776.0
1000.0 79179.7857143
1107.0 877186.142857
1506.5 711540.642857
3477.0 42225.5
2187.0 425971.142857
1192.0 45848.7857143
5155.0 105421.714286
7350.0 215249.571429
2293.0 129896.428571
999.0 731923.0
3199.0 139573.857143
9901.0 137983.571429
3300.0 76865.2142857
2888.0 40556.7857143
5800.0 82827.0666667
4931.0 585815.428571
5000.0 79927.7857143
3621.0 110237.0
4301.0 91550.2857143
101.0 131946.857143
2616.0 109401.857143
1999.0 190749.571429
2250.0 474348.5
2616.0 158335.0
2577.0 535616.642857
2369.0 505464.928571
2791.0 1006022.28571
1629.0 115330.142857
3087.0 655358.428571
4629.0 233560.571429
1949.0 129819.571429
1399.0 125284.428571
799.0 446655.214286
4279.0 6608129.64286
2294.0 1274089.35714
2720.0 1468969.78571
99911.0 152477.0
5691.5 173870.428571
4109.0 173367.571429
1999.0 87011.9285714
2944.5 174163.857143
3396.0 218137.5
5803.0 212740.285714
2920.0 105127.857143
2100.0 90448.0714286
4499.0 5492570.71429
921.0 105818.0
2576.5 100729.785714
2600.0 140822.714286
2438.0 676596.0
2155.5 864990.428571
961.0 116456.714286
4340.0 107317.714286
2199.0 545114.928571
3599.0 128474.0
3300.0 65300.1428571
2000.0 558949.571429
1000.0 112371.857143
4090.0 324416.142857
424.0 854360.071429
39507.0 936310.785714
13488.0 2918760.35714
2799.0 270960.857143
1617.0 274437.714286
1500.0 196241.142857
1497.0 107934.285714
5304.0 123463.071429
1099.0 818523.142857
2338.0 67690.5714286
4289.0 259298.142857
4159.0 538515.642857
1276.0 192791.857143
931.5 680452.214286
4098.0 306679.142857
1471.0 305845.153846
444.0 95046.9230769
1608.0 863718.769231
3649.0 680893.153846
2320.0 562519.846154
2994.0 680343.0
4580.0 855629.384615
7855.0 2179318.46154
3663.0 1896274.92308
8067.0 131048.307692
3894.0 175735.538462
